exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
dropout2CNN,0,6.22926092148,30.1678125,32000,31828,1125,30875,1.0,1.0,1.0,0.670313216894,0.921688888889,0.461068898458,0.653587916516,0.444907149488,dropout2CNN_0,62.1316337585,2.09507465363,0.9375
dropout2CNN,1,5.96724414825,22.4496875,6400,6214,767,5633,1.0,1.0,1.0,0.684280237177,0.974576271186,0.476590907334,0.576063983201,0.726443862836,dropout2CNN_1,571.266357422,1.83359599113,0.875
dropout2CNN,2,6.15390443802,35.52203125,6400,6389,70,6330,1.0,1.0,1.0,0.718050726551,0.962857142857,0.532790555476,0.609819763641,0.623111155936,dropout2CNN_2,44.7028274536,1.57731175423,0.875
dropout2CNN,3,5.96757555008,26.69625,6400,6188,351,6049,1.0,1.0,1.0,0.800083774615,0.988746438746,0.483045598489,0.631328217079,0.606813470054,dropout2CNN_3,57.9410438538,1.14447295666,0.9375
dropout2CNN,4,5.63531541824,13.58140625,6400,4696,1860,4540,1.0,1.0,1.0,0.935163429938,0.989784946237,0.412136821352,0.843127955349,0.528895287501,dropout2CNN_4,75.4601593018,1.04990804195,0.875
