exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,qed,DRD2,model_samples,neg-loglike,D_loss_0,Accuracy_0
morgan3,1,6.32563304901,33.515,6400,6382,2251,4149,1.0,0.999555752999,1.0,0.459351300774,0.8998667259,0.532002648673,0.505758049395,0.577442946004,0.711291350391,0.00751951588857,morgan3_1,1918.52368164,3.57168769836,0.625
morgan3,2,6.32972145081,32.78296875,6400,6391,2120,4280,1.0,1.0,1.0,0.461582470623,0.893891509434,0.508600084511,0.517380462381,0.558131237372,0.697754548023,0.00806051095467,morgan3_2,239.38999939,2.55403780937,0.6875
morgan3,3,6.32922315598,33.3196875,6400,6384,1987,4413,1.0,1.0,1.0,0.470747356692,0.886562657272,0.50564422861,0.530844105702,0.540081816982,0.699436411855,0.00972262828422,morgan3_3,847.634033203,1.89902877808,0.9375
morgan3,4,6.3209528923,33.01875,6400,6386,1730,4670,1.0,1.0,1.0,0.550419724929,0.888439306358,0.489421138264,0.534630407283,0.54763311884,0.680692200447,0.0091378794268,morgan3_4,645.529052734,1.97453963757,0.625
morgan3,5,6.2757897377,31.3940625,6400,6379,2160,4240,1.0,1.0,1.0,0.533952323699,0.899675925926,0.505951686246,0.524611272303,0.564463968666,0.684584565632,0.00809433116236,morgan3_5,668.086730957,1.31338572502,0.875
morgan3,6,6.24506664276,30.27578125,6400,6370,2470,3930,1.0,1.0,1.0,0.515992979529,0.90955465587,0.507935397427,0.518157458888,0.581056708195,0.686087141135,0.00721595921825,morgan3_6,366.015472412,1.05353522301,0.9375
morgan3,7,6.22406864166,29.21765625,6400,6371,2722,3678,0.999632623071,1.0,0.99974283615,0.541621698695,0.909698750918,0.512954015449,0.511085249569,0.594612797345,0.688835135843,0.00740484504747,morgan3_7,294.824462891,0.925491809845,0.9375
morgan3,8,6.21975898743,28.7821875,6400,6350,2616,3784,1.0,1.0,1.0,0.480292124238,0.909881498471,0.521358603158,0.506641740782,0.611462379188,0.690498113023,0.00598011903223,morgan3_8,345.487915039,0.843903660774,0.8125
morgan3,9,6.21750259399,28.9046875,6400,6352,2552,3848,1.0,1.0,1.0,0.50302916843,0.908052507837,0.518206332084,0.510589336064,0.612668578395,0.688635017347,0.00625221195074,morgan3_9,247.562988281,0.959197998047,0.8125
morgan3,10,6.23193979263,29.40828125,32000,31550,11862,20138,1.0,1.0,1.0,0.461352670198,0.90955150902,0.523944359888,0.516768786286,0.609445589979,0.694860637422,0.00665360732955,morgan3_10,678.369018555,0.568364560604,0.9375
