exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
dropout3CNN,0,6.26885080338,31.235125,32000,31957,911,31089,1.0,1.0,1.0,0.649995663337,0.928046103183,0.477649365016,0.663932448078,0.423932617797,dropout3CNN_0,420.391906738,1.74382638931,0.9375
dropout3CNN,1,6.29898738861,33.85484375,6400,6393,71,6329,1.0,1.0,1.0,0.691545486665,0.957746478873,0.487837644691,0.652153593779,0.50966968848,dropout3CNN_1,138.435653687,1.69226133823,0.8125
dropout3CNN,2,6.06795310974,24.13625,6400,6372,351,6049,1.0,1.0,1.0,0.628228615467,0.950284900285,0.508667612025,0.631894737789,0.6153464528,dropout3CNN_2,101.704177856,1.19008922577,0.9375
dropout3CNN,3,5.95794534683,20.381875,6400,6299,754,5646,1.0,1.0,1.0,0.595026879757,0.956763925729,0.474904682517,0.626780449805,0.685460159667,dropout3CNN_3,125.131416321,0.914323866367,1.0
dropout3CNN,4,6.02835559845,22.57015625,6400,6368,616,5784,1.0,1.0,1.0,0.557336226088,0.955925324675,0.460410307895,0.625148618331,0.654234072841,dropout3CNN_4,182.326599121,0.923354744911,0.875
dropout3CNN,5,6.20871782303,28.56390625,6400,6395,313,6087,1.0,1.0,1.0,0.6320400003,0.961980830671,0.452314740506,0.625592757521,0.581228588421,dropout3CNN_5,187.954696655,0.654430627823,0.9375
dropout3CNN,6,6.41667413712,36.1571875,6400,6400,120,6280,1.0,1.0,1.0,0.661632957487,0.919583333333,0.447738135599,0.696683417525,0.362380571092,dropout3CNN_6,11.9012203217,0.496774494648,1.0
