exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,qed,DRD2,model_samples,neg-loglike,D_loss_0,Accuracy_0
drd2_organ2_04,35,6.23214006424,30.03984375,6400,6269,2321,4079,1.0,1.0,1.0,0.571697855631,0.916738474795,0.611093768164,0.54008035426,0.665320288949,0.678635399011,0.133912203264,drd2_organ2_04_35,57.8936920166,0.00671517476439,1.0
drd2_organ2_04,36,6.24171829224,30.1103125,6400,6227,2626,3774,1.0,1.0,1.0,0.559509079361,0.909006092917,0.623465407874,0.545538957062,0.66615383067,0.678700078273,0.153797100904,drd2_organ2_04_36,59.5056114197,0.00335072888993,1.0
drd2_organ2_04,37,6.24836444855,30.101875,6400,6244,2922,3478,1.0,1.0,1.0,0.575026180241,0.901197809719,0.637089289371,0.548444016218,0.654592904273,0.670763532641,0.178933936735,drd2_organ2_04_37,83.1819534302,0.00311460043304,1.0
drd2_organ2_04,38,6.26072978973,30.3115625,6400,6265,2991,3409,1.0,1.0,1.0,0.577025776632,0.894048813106,0.642988503279,0.54797683164,0.643834769707,0.66129186725,0.193621353841,drd2_organ2_04_38,97.0060043335,0.00875635631382,1.0
drd2_organ2_04,39,6.25604867935,30.7275,6400,6246,2912,3488,1.0,1.0,1.0,0.572336877633,0.884409340659,0.653275401142,0.544884162698,0.645047615212,0.651371269644,0.215864298914,drd2_organ2_04_39,95.0295181274,0.00298831565306,1.0
drd2_organ2_04,40,6.25812339783,30.921375,32000,30280,12838,19162,1.0,1.0,1.0,0.585229121143,0.873005919925,0.65624928547,0.546162209125,0.631055274325,0.644477127762,0.224159672624,drd2_organ2_04_40,102.242042542,0.00229016039521,1.0
drd2_organ2_04,41,6.25285387039,31.5475,6400,6220,2152,4248,1.0,1.0,1.0,0.600871550162,0.864196096654,0.660947240392,0.54714522067,0.62023352376,0.634859647868,0.246817515236,drd2_organ2_04_41,90.5052871704,0.00195946847089,1.0
drd2_organ2_04,42,6.26732158661,31.9521875,6400,6234,1916,4484,1.0,1.0,1.0,0.541810692647,0.865083507307,0.663110102277,0.548296730644,0.621536622676,0.632552007753,0.252261068329,drd2_organ2_04_42,103.839736938,0.00186244992074,1.0
drd2_organ2_04,43,6.26630449295,32.1428125,6400,6239,1768,4632,1.0,1.0,1.0,0.600319852397,0.860633484163,0.669299601929,0.545490235288,0.622111696227,0.627405166191,0.28099948203,drd2_organ2_04_43,87.991897583,0.00181278958917,1.0
drd2_organ2_04,44,6.26167488098,32.21015625,6400,6225,1860,4540,1.0,1.0,1.0,0.542439601055,0.870510752688,0.672641972341,0.536953459051,0.637937987603,0.628561560502,0.273652016902,drd2_organ2_04_44,104.521484375,0.00137079309206,1.0
