exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
dropout1CNN,0,6.26744937897,30.54140625,32000,31807,797,31203,1.0,1.0,1.0,0.734673590013,0.936449184442,0.476806331072,0.69827444327,0.465241507324,dropout1CNN_0,415.171447754,2.06692075729,0.875
dropout1CNN,1,5.99654054642,27.2978125,6400,6344,147,6253,1.0,1.0,1.0,0.764356970229,0.978231292517,0.421904529059,0.566133272223,0.671611770809,dropout1CNN_1,174.496307373,1.73748064041,0.875
dropout1CNN,2,6.13964986801,29.92265625,6400,6371,155,6245,1.0,1.0,1.0,0.82681859596,0.972580645161,0.447847646941,0.64093283782,0.514201382474,dropout1CNN_2,1025.42578125,1.49395024776,0.9375
dropout1CNN,3,6.53442621231,30.82484375,6400,6332,205,6195,1.0,1.0,1.0,0.888531503609,0.898048780488,0.50925185652,0.790707230555,0.521946470479,dropout1CNN_3,131.577682495,1.27682733536,0.875
dropout1CNN,4,6.2797832489,24.14125,6400,6320,338,6062,1.0,1.0,1.0,0.879139743652,0.895266272189,0.379785644676,0.760327350448,0.527395632184,dropout1CNN_4,393.625274658,1.09630596638,0.8125
